Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
56,January - M011994,Delhi,Delhi,Central Pollution Control Board,Industrial Area,22.6,31.9,NA,351
57,January - M011994,Delhi,Delhi,Central Pollution Control Board,Industrial Area,23.6,31.3,NA,464
60,January - M011994,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",10.2,28.1,NA,308
59,January - M011994,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",11.6,28,NA,405
55,January - M011994,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.6,37,NA,442
58,January - M011994,Delhi,Delhi,Central Pollution Control Board,Industrial Area,21.4,31.8,NA,470
146,January - M011994,Delhi,Delhi,NA,"Residential, Rural and other Areas",47,64.5,NA,796
145,January - M011994,Delhi,Delhi,NA,Industrial Area,16.2,30.8,NA,416
56,February - M021994,Delhi,Delhi,Central Pollution Control Board,Industrial Area,23.8,38.1,NA,393
57,February - M021994,Delhi,Delhi,Central Pollution Control Board,Industrial Area,25.1,34.4,NA,454
60,February - M021994,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",11.6,28.9,NA,299
59,February - M021994,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",15.3,36,NA,373
55,February - M021994,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12.8,37.3,NA,435
58,February - M021994,Delhi,Delhi,Central Pollution Control Board,Industrial Area,22.6,31,NA,387
146,February - M021994,Delhi,Delhi,NA,"Residential, Rural and other Areas",38.5,55.7,NA,701
145,February - M021994,Delhi,Delhi,NA,Industrial Area,22.9,28.2,NA,550
56,March - M031994,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.3,25.2,NA,270
57,March - M031994,Delhi,Delhi,Central Pollution Control Board,Industrial Area,36.7,31.9,NA,374
60,March - M031994,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",12.5,28.7,NA,335
55,March - M031994,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.3,39.8,NA,346
58,March - M031994,Delhi,Delhi,Central Pollution Control Board,Industrial Area,19.1,26.5,NA,417
59,March - M031994,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",17.7,41.9,NA,389
