Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/6/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,22.1,34.8,269,615
1/7/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,19.1,43.1,301,657
17/1/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,21.4,67.6,310,756
18/1/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,13.4,49,280,745
20/1/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,19.9,50.1,334,856
21/1/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,22.3,41,275,616
23/1/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,21,45.4,301,761
24/1/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,23.1,50.5,299,669
2/1/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,17.5,56,337,797
2/2/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,22.2,65.9,366,814
2/10/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,22.5,66.1,301,759
2/11/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,20,70.8,262,656
17/2/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,12.6,34.1,202,664
18/2/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,18.7,30.3,207,655
24/2/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,14.6,27.6,303,784
25/2/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,19,73.8,321,788
3/8/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,12.5,50.1,273,705
3/9/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.5,56.9,203,483
21/3/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,17,24.9,180,455
22/3/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,18.4,34.4,263,582
24/3/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,9,36.4,256,572
25/3/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,15.8,41.3,215,599
28/3/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,12.1,27.1,206,416
29/3/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,14.6,28.9,207,461
4/1/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.2,51.5,208,499
4/2/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,19.7,38.9,171,488
4/10/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,11.3,36.9,191,633
4/11/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,15.2,35,190,543
21/4/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,18.9,61.9,299,945
22/4/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,15.1,39.6,368,1002
28/4/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,6.8,51.6,212,690
29/4/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,9.7,35.4,505,NA
5/2/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,15.5,35.7,362,566
5/3/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,18.7,52.8,240,574
13/5/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,8.1,37.1,218,545
14/5/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,7.1,44.5,224,727
20/5/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,8.3,39.9,172,481
26/5/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,4,26.4,120,375
27/5/2006,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,3.4,28.7,97,269
1/2/2006,Delhi,Delhi,Shahdara,Industrial Areas,11.6,36.3,91,312
1/5/2006,Delhi,Delhi,Shahdara,Industrial Areas,6.2,39.8,97,209
1/10/2006,Delhi,Delhi,Shahdara,Industrial Areas,9.3,40.5,136,424
16/1/2006,Delhi,Delhi,Shahdara,Industrial Areas,13.5,56.7,NA,505
