Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
56,January - M011991,Delhi,Delhi,Central Pollution Control Board,Industrial Area,7.6,24.3,NA,321
57,January - M011991,Delhi,Delhi,Central Pollution Control Board,Industrial Area,8.3,25.6,NA,373
60,January - M011991,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",8.5,22.6,NA,300
59,January - M011991,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",7.5,32.1,NA,309
55,January - M011991,Delhi,Delhi,Central Pollution Control Board,Industrial Area,6.9,23.8,NA,333
58,January - M011991,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12.5,16.2,NA,294
146,January - M011991,Delhi,Delhi,NA,"Residential, Rural and other Areas",106.1,108.4,NA,728
145,January - M011991,Delhi,Delhi,NA,Industrial Area,25.5,61.2,NA,544
144,January - M011991,Delhi,Delhi,NA,"Residential, Rural and other Areas",52.3,66.9,NA,336
58,February - M021991,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.5,26.1,NA,239
55,February - M021991,Delhi,Delhi,Central Pollution Control Board,Industrial Area,5.6,31.6,NA,354
59,February - M021991,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",10.2,36.8,NA,334
60,February - M021991,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",6.6,24.6,NA,187
57,February - M021991,Delhi,Delhi,Central Pollution Control Board,Industrial Area,20.6,25.4,NA,524
56,February - M021991,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.1,31.3,NA,229
58,March - M031991,Delhi,Delhi,Central Pollution Control Board,Industrial Area,23.4,26.2,NA,390
55,March - M031991,Delhi,Delhi,Central Pollution Control Board,Industrial Area,5.8,39.3,NA,315
59,March - M031991,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",9.5,29.6,NA,264
60,March - M031991,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",10,25.1,NA,355
57,March - M031991,Delhi,Delhi,Central Pollution Control Board,Industrial Area,4.7,32.3,NA,333
56,March - M031991,Delhi,Delhi,Central Pollution Control Board,Industrial Area,19.8,34.8,NA,188
144,March - M031991,Delhi,Delhi,NA,"Residential, Rural and other Areas",29.2,38.1,NA,356
145,March - M031991,Delhi,Delhi,NA,Industrial Area,31.6,42.1,NA,452
146,March - M031991,Delhi,Delhi,NA,"Residential, Rural and other Areas",26.4,28,NA,448
58,April - M041991,Delhi,Delhi,Central Pollution Control Board,Industrial Area,20.2,23.4,NA,397
55,April - M041991,Delhi,Delhi,Central Pollution Control Board,Industrial Area,3.9,37.8,NA,312
59,April - M041991,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",11,31.7,NA,396
60,April - M041991,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",3.7,24.9,NA,288
57,April - M041991,Delhi,Delhi,Central Pollution Control Board,Industrial Area,5,28.5,NA,589
56,April - M041991,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13.1,28.4,NA,239
144,April - M041991,Delhi,Delhi,NA,"Residential, Rural and other Areas",51.6,38.8,NA,391
