Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
55,January - M012001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.3,35.9,NA,278
55,February - M022001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.1,44.3,NA,367
55,March - M032001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.7,35.1,NA,280
55,April - M042001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.3,39.8,NA,342
55,May - M052001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.5,33.6,NA,285
55,June - M062001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.9,37.7,NA,193
55,July - M072001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13.3,20,NA,155
55,August - M082001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.2,33.2,NA,147
55,September - M092001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.4,33,NA,202
55,October - M102001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.2,36,NA,283
55,November - M112001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.5,42.4,NA,341
55,December - M122001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,19.7,39.5,NA,301
56,January - M012001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10,22.7,NA,289
56,February - M022001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,9.7,21.3,NA,365
56,March - M032001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,6.9,14.6,NA,281
56,May - M052001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10.1,20.8,NA,251
56,June - M062001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,8.5,19.2,NA,205
56,July - M072001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,8.8,18.2,NA,163
56,August - M082001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,7.5,16.3,NA,193
56,September - M092001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,6.2,14.4,NA,199
56,October - M102001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,6.9,16.2,NA,NA
56,November - M112001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,9.2,31.2,NA,544
56,December - M122001,Delhi,Delhi,Central Pollution Control Board,Industrial Area,7.8,22.7,NA,344
