Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
55,January - M011999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12.9,29.8,NA,344
56,January - M011999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13,15.1,NA,242
57,January - M011999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,26.7,48,NA,387
58,January - M011999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.5,22.3,NA,382
59,January - M011999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",19.3,34.4,NA,303
60,January - M011999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",19.4,26.3,NA,240
144,January - M011999,Delhi,Delhi,NA,"Residential, Rural and other Areas",34.1,69.7,NA,189
145,January - M011999,Delhi,Delhi,NA,Industrial Area,35.6,71.5,NA,429
146,January - M011999,Delhi,Delhi,NA,"Residential, Rural and other Areas",33.6,70.5,NA,354
55,February - M021999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.5,33.2,NA,267
56,February - M021999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12.1,15.8,NA,401
57,February - M021999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,28,46.7,NA,414
58,February - M021999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.5,24.2,NA,261
59,February - M021999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",14.6,22.2,NA,416
60,February - M021999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",19.4,25,NA,277
144,February - M021999,Delhi,Delhi,NA,"Residential, Rural and other Areas",12,46.4,NA,247
145,February - M021999,Delhi,Delhi,NA,Industrial Area,22.6,43.1,NA,454
146,February - M021999,Delhi,Delhi,NA,"Residential, Rural and other Areas",22.2,52.5,NA,402
55,March - M031999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.9,25.8,NA,261
56,March - M031999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11.8,19.4,NA,403
57,March - M031999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,23,45.1,NA,289
58,March - M031999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.5,25.4,NA,406
