Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
59,March - M031999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",17.1,32.9,NA,396
60,March - M031999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",18.6,22.9,NA,355
144,March - M031999,Delhi,Delhi,NA,"Residential, Rural and other Areas",9.5,45.4,NA,364
145,March - M031999,Delhi,Delhi,NA,Industrial Area,16.3,44.3,NA,501
146,March - M031999,Delhi,Delhi,NA,"Residential, Rural and other Areas",22.2,49.7,NA,417
55,April - M041999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.4,33.8,NA,250
56,April - M041999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,9.9,17.5,NA,306
57,April - M041999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,21.9,41.7,NA,331
58,April - M041999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.2,20.6,NA,250
59,April - M041999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",18,40.7,NA,258
60,April - M041999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",16.6,23.5,NA,328
144,April - M041999,Delhi,Delhi,NA,"Residential, Rural and other Areas",10.9,42.7,NA,489
145,April - M041999,Delhi,Delhi,NA,Industrial Area,15,46.5,NA,685
146,April - M041999,Delhi,Delhi,NA,"Residential, Rural and other Areas",11.7,58.4,NA,581
55,May - M051999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.7,34.7,NA,407
56,May - M051999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10.7,19.5,NA,335
57,May - M051999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,21.5,40.3,NA,389
58,May - M051999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,20.5,27.5,NA,282
59,May - M051999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",18,32.5,NA,332
60,May - M051999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",18.8,26.7,NA,439
144,May - M051999,Delhi,Delhi,NA,"Residential, Rural and other Areas",33.3,23.8,NA,462
145,May - M051999,Delhi,Delhi,NA,Industrial Area,37.3,32.2,NA,438
146,May - M051999,Delhi,Delhi,NA,"Residential, Rural and other Areas",25.7,32.5,NA,631
55,June - M061999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,20.1,23.4,NA,257
56,June - M061999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11,15.8,NA,420
57,June - M061999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.4,40.1,NA,383
58,June - M061999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,19.6,22.7,NA,417
59,June - M061999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",16.8,28.8,NA,215
60,June - M061999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",17.7,24,NA,401
144,June - M061999,Delhi,Delhi,NA,"Residential, Rural and other Areas",9.5,40.8,NA,311
145,June - M061999,Delhi,Delhi,NA,Industrial Area,13,48.6,NA,626
146,June - M061999,Delhi,Delhi,NA,"Residential, Rural and other Areas",13.4,52.7,NA,680
55,July - M071999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,19,28.4,NA,316
56,July - M071999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,9.5,14,NA,268
57,July - M071999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.2,31,NA,303
58,July - M071999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,29.1,29,NA,295
59,July - M071999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",15.4,28.5,NA,306
60,July - M071999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",23.2,25.5,NA,372
144,July - M071999,Delhi,Delhi,NA,"Residential, Rural and other Areas",6.1,31.3,NA,181
145,July - M071999,Delhi,Delhi,NA,Industrial Area,11.1,44.1,NA,288
146,July - M071999,Delhi,Delhi,NA,"Residential, Rural and other Areas",9.1,49.3,NA,189
55,August - M081999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.4,30,NA,323
56,August - M081999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,9.3,13.6,NA,278
57,August - M081999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10.8,30.3,NA,192
58,August - M081999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.6,22,NA,412
59,August - M081999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",17.4,28.3,NA,326
60,August - M081999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",18.4,22.8,NA,334
144,August - M081999,Delhi,Delhi,NA,"Residential, Rural and other Areas",6,25.4,NA,170
145,August - M081999,Delhi,Delhi,NA,Industrial Area,6.4,27.9,NA,345
146,August - M081999,Delhi,Delhi,NA,"Residential, Rural and other Areas",6.3,33.3,NA,237
55,September - M091999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.9,34.7,NA,227
56,September - M091999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11.7,22.6,NA,198
57,September - M091999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14.3,41,NA,187
58,September - M091999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.3,22.3,NA,312
59,September - M091999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",17.8,28.6,NA,307
60,September - M091999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",16.4,21,NA,296
144,September - M091999,Delhi,Delhi,NA,"Residential, Rural and other Areas",6,30.6,NA,247
145,September - M091999,Delhi,Delhi,NA,Industrial Area,7.7,36.9,NA,348
146,September - M091999,Delhi,Delhi,NA,"Residential, Rural and other Areas",6.1,33.1,NA,296
55,October - M101999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.4,35.8,NA,194
56,October - M101999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12.1,30.2,NA,241
57,October - M101999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,22.4,52.9,NA,185
58,October - M101999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,21.4,24.4,NA,233
59,October - M101999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",17.6,28.5,NA,238
60,October - M101999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",22.4,25.5,NA,240
144,October - M101999,Delhi,Delhi,NA,"Residential, Rural and other Areas",8.7,51,NA,311
145,October - M101999,Delhi,Delhi,NA,Industrial Area,18,47.9,NA,658
146,October - M101999,Delhi,Delhi,NA,"Residential, Rural and other Areas",17.4,85.7,NA,784
55,November - M111999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.1,36.1,NA,210
56,November - M111999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.7,29.4,NA,276
57,November - M111999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,23.6,62.2,NA,309
58,November - M111999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,19.6,25.1,NA,374
59,November - M111999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",18.5,27.3,NA,330
60,November - M111999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",18.7,21.7,NA,402
144,November - M111999,Delhi,Delhi,NA,"Residential, Rural and other Areas",15.9,72.2,NA,675
145,November - M111999,Delhi,Delhi,NA,Industrial Area,26.4,58,NA,728
146,November - M111999,Delhi,Delhi,NA,"Residential, Rural and other Areas",19.7,82.2,NA,617
55,December - M121999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.9,34,NA,321
56,December - M121999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11.3,31.2,NA,454
57,December - M121999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,21.6,45.5,NA,430
58,December - M121999,Delhi,Delhi,Central Pollution Control Board,Industrial Area,22,30.3,NA,374
59,December - M121999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",18.2,28,NA,321
60,December - M121999,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",22.8,29.5,NA,351
144,December - M121999,Delhi,Delhi,NA,"Residential, Rural and other Areas",12.5,68.9,NA,600
145,December - M121999,Delhi,Delhi,NA,Industrial Area,20.9,58.2,NA,824
146,December - M121999,Delhi,Delhi,NA,"Residential, Rural and other Areas",22.3,57.8,NA,727
