Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
55,January - M012000,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.7,34.6,NA,243
56,January - M012000,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11.5,31.9,NA,270
57,January - M012000,Delhi,Delhi,Central Pollution Control Board,Industrial Area,19.1,40.7,NA,303
58,January - M012000,Delhi,Delhi,Central Pollution Control Board,Industrial Area,20.8,24.9,NA,228
59,January - M012000,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",19.6,27.2,NA,256
60,January - M012000,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",15.9,19.4,NA,187
144,January - M012000,Delhi,Delhi,NA,"Residential, Rural and other Areas",6.5,58,NA,486
145,January - M012000,Delhi,Delhi,NA,Industrial Area,17.2,60.4,NA,424
146,January - M012000,Delhi,Delhi,NA,"Residential, Rural and other Areas",11.9,63,NA,418
55,February - M022000,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.1,38.3,NA,183
56,February - M022000,Delhi,Delhi,Central Pollution Control Board,Industrial Area,9.6,27.1,NA,188
57,February - M022000,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.6,37.5,NA,192
58,February - M022000,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.3,21.9,NA,192
59,February - M022000,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",18.8,26.6,NA,204
60,February - M022000,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",16,20.5,NA,163
144,February - M022000,Delhi,Delhi,NA,"Residential, Rural and other Areas",6.3,56.3,NA,344
145,February - M022000,Delhi,Delhi,NA,Industrial Area,11.1,62.1,NA,390
146,February - M022000,Delhi,Delhi,NA,"Residential, Rural and other Areas",11.8,64.9,NA,434
55,March - M032000,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.8,37.2,NA,313
56,March - M032000,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10.7,27.9,NA,231
57,March - M032000,Delhi,Delhi,Central Pollution Control Board,Industrial Area,20.5,48.6,NA,297
58,March - M032000,Delhi,Delhi,Central Pollution Control Board,Industrial Area,19.9,24.5,NA,224
59,March - M032000,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",19.3,26.6,NA,217
