Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
60,July - M071990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",4.8,21.8,NA,346
59,July - M071990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",7.7,33.8,NA,235
55,July - M071990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,5.6,15.1,NA,181
58,July - M071990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,22.9,14.3,NA,190
144,July - M071990,Delhi,Delhi,NA,"Residential, Rural and other Areas",5.3,18.3,NA,280
145,July - M071990,Delhi,Delhi,NA,Industrial Area,13.7,24.2,NA,391
146,July - M071990,Delhi,Delhi,NA,"Residential, Rural and other Areas",20.3,42.5,NA,430
56,August - M081990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,6.6,30.4,NA,147
57,August - M081990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,5.9,23.1,NA,401
60,August - M081990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",11.1,26.7,NA,120
59,August - M081990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",7.5,34.5,NA,195
55,August - M081990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,5.7,14.3,NA,231
58,August - M081990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,30.6,20.1,NA,121
144,August - M081990,Delhi,Delhi,NA,"Residential, Rural and other Areas",5.7,23.1,NA,183
145,August - M081990,Delhi,Delhi,NA,Industrial Area,20.9,30.5,NA,306
146,August - M081990,Delhi,Delhi,NA,"Residential, Rural and other Areas",14.8,38.3,NA,272
56,September - M091990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,7.4,18.1,NA,142
57,September - M091990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,7.5,20.7,NA,281
60,September - M091990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",16.3,24.1,NA,101
59,September - M091990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",7.3,28.5,NA,209
55,September - M091990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,9.5,16.6,NA,185
58,September - M091990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,24.8,17.5,NA,112
56,October - M101990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,6.2,22.7,NA,264
57,October - M101990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,9.3,27.8,NA,426
55,October - M101990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,6.4,14.1,NA,235
59,October - M101990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",8,29.7,NA,369
58,October - M101990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,28.2,16.8,NA,187
56,November - M111990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,5.2,23.1,NA,324
57,November - M111990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13.9,21.1,NA,473
55,November - M111990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,5.8,13.8,NA,303
59,November - M111990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",10.1,34,NA,307
58,November - M111990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10.6,24.4,NA,406
60,November - M111990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",13.5,23.4,NA,304
146,November - M111990,Delhi,Delhi,NA,"Residential, Rural and other Areas",32.3,77.4,NA,602
144,November - M111990,Delhi,Delhi,NA,"Residential, Rural and other Areas",17.3,55.6,NA,345
145,November - M111990,Delhi,Delhi,NA,Industrial Area,43.5,61.1,NA,662
56,December - M121990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,5.3,20.1,NA,283
57,December - M121990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,9.8,25.2,NA,384
60,December - M121990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",8.9,27.4,NA,420
59,December - M121990,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",4.8,30.1,NA,360
55,December - M121990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,9.2,21.6,NA,352
58,December - M121990,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13.3,16.7,NA,367
