Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
56,January - M011993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14.1,32.7,NA,NA
57,January - M011993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,28.5,27.9,NA,NA
60,January - M011993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",17.8,26.7,NA,NA
59,January - M011993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",14.7,30.7,NA,NA
55,January - M011993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.2,25,NA,NA
58,January - M011993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.6,36.6,NA,NA
144,January - M011993,Delhi,Delhi,NA,"Residential, Rural and other Areas",17.9,27.5,NA,NA
145,January - M011993,Delhi,Delhi,NA,Industrial Area,14,17.2,NA,NA
146,January - M011993,Delhi,Delhi,NA,"Residential, Rural and other Areas",8.6,14.8,NA,NA
56,February - M021993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.2,29.1,NA,NA
57,February - M021993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,24.3,30.6,NA,NA
60,February - M021993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",12.4,29.7,NA,NA
59,February - M021993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",14.6,46,NA,NA
55,February - M021993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,9.5,19,NA,NA
58,February - M021993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.7,47.9,NA,NA
144,February - M021993,Delhi,Delhi,NA,"Residential, Rural and other Areas",15.4,34,NA,NA
145,February - M021993,Delhi,Delhi,NA,Industrial Area,13.4,19.4,NA,NA
146,February - M021993,Delhi,Delhi,NA,"Residential, Rural and other Areas",23.1,34.2,NA,NA
56,March - M031993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.3,27.9,NA,NA
57,March - M031993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,19.8,33.8,NA,NA
60,March - M031993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",14.7,29.4,NA,NA
59,March - M031993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",19.3,42.6,NA,NA
55,March - M031993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12.5,24,NA,NA
58,March - M031993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,19.2,33.2,NA,NA
144,March - M031993,Delhi,Delhi,NA,"Residential, Rural and other Areas",8.2,15.8,NA,NA
145,March - M031993,Delhi,Delhi,NA,Industrial Area,7.1,7.4,NA,NA
146,March - M031993,Delhi,Delhi,NA,"Residential, Rural and other Areas",15.4,33.1,NA,NA
