Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
56,April - M041993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.4,27.4,NA,NA
57,April - M041993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,35.1,48.3,NA,NA
60,April - M041993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",17.6,21.8,NA,NA
59,April - M041993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",13.9,35.8,NA,NA
55,April - M041993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12,36.3,NA,NA
58,April - M041993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,20.4,41.2,NA,NA
144,April - M041993,Delhi,Delhi,NA,"Residential, Rural and other Areas",6,15.2,NA,NA
145,April - M041993,Delhi,Delhi,NA,Industrial Area,6,19.5,NA,NA
146,April - M041993,Delhi,Delhi,NA,"Residential, Rural and other Areas",6,10.8,NA,NA
56,May - M051993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.3,29.5,NA,NA
57,May - M051993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,33.9,45.9,NA,NA
60,May - M051993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",19.1,39.4,NA,NA
59,May - M051993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",16.8,38.1,NA,NA
55,May - M051993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,19,26.8,NA,NA
58,May - M051993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,23.7,35.9,NA,NA
144,May - M051993,Delhi,Delhi,NA,"Residential, Rural and other Areas",10.8,16.3,NA,NA
146,May - M051993,Delhi,Delhi,NA,"Residential, Rural and other Areas",10.8,6.2,NA,NA
56,June - M061993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,20.1,32,NA,NA
57,June - M061993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,33,38.7,NA,NA
60,June - M061993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",15.5,36.8,NA,NA
59,June - M061993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",14,34.4,NA,NA
55,June - M061993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.4,32,NA,NA
58,June - M061993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,22.8,32.6,NA,NA
56,July - M071993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.5,32.9,NA,NA
57,July - M071993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,19,26,NA,NA
60,July - M071993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",25.1,35.9,NA,NA
59,July - M071993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",12.6,32.5,NA,NA
55,July - M071993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12.2,35.8,NA,NA
58,July - M071993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,20.3,30.4,NA,NA
56,August - M081993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.6,31.2,NA,NA
57,August - M081993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,20.7,28.6,NA,NA
60,August - M081993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",19.3,32.1,NA,NA
59,August - M081993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",13.4,40.1,NA,NA
55,August - M081993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.9,35.6,NA,NA
58,August - M081993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,24.2,36.2,NA,NA
56,September - M091993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,19.3,43.9,NA,NA
57,September - M091993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,21.9,29.6,NA,NA
60,September - M091993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",19.6,27.3,NA,NA
59,September - M091993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",12.2,33,NA,NA
55,September - M091993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13.3,35.8,NA,NA
58,September - M091993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,32,34.5,NA,NA
144,September - M091993,Delhi,Delhi,NA,"Residential, Rural and other Areas",56.5,33,NA,NA
145,September - M091993,Delhi,Delhi,NA,Industrial Area,19.3,22.9,NA,NA
146,September - M091993,Delhi,Delhi,NA,"Residential, Rural and other Areas",17.2,24.5,NA,NA
56,October - M101993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.1,27.9,NA,NA
57,October - M101993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,21,29.7,NA,NA
60,October - M101993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",13.4,36.5,NA,NA
59,October - M101993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",16.7,38.5,NA,NA
55,October - M101993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11.7,29.8,NA,NA
58,October - M101993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,23.2,31.2,NA,NA
56,November - M111993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,24.8,30.1,NA,NA
57,November - M111993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,23.9,32.3,NA,NA
60,November - M111993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",14.2,33.8,NA,NA
59,November - M111993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",16.6,36.4,NA,NA
55,November - M111993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13.6,30,NA,NA
58,November - M111993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,23.3,31.6,NA,NA
144,November - M111993,Delhi,Delhi,NA,"Residential, Rural and other Areas",16.2,33.2,NA,NA
145,November - M111993,Delhi,Delhi,NA,Industrial Area,21.6,30.8,NA,NA
146,November - M111993,Delhi,Delhi,NA,"Residential, Rural and other Areas",45.2,62.7,NA,NA
56,December - M121993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.8,27,NA,NA
57,December - M121993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,28,34.1,NA,NA
60,December - M121993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",11.5,31,NA,NA
59,December - M121993,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",15.7,42.7,NA,NA
55,December - M121993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13.6,32.3,NA,NA
58,December - M121993,Delhi,Delhi,Central Pollution Control Board,Industrial Area,22.8,29.4,NA,NA
144,December - M121993,Delhi,Delhi,NA,"Residential, Rural and other Areas",15.5,57.3,NA,NA
145,December - M121993,Delhi,Delhi,NA,Industrial Area,38.4,38.2,NA,NA
146,December - M121993,Delhi,Delhi,NA,"Residential, Rural and other Areas",45.9,91.5,NA,NA
