Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
60,9/1/1987,Delhi,Delhi,Central Pollution Control Board,Residential,8.6,16.2,NA,323
59,9/2/1987,Delhi,Delhi,Central Pollution Control Board,Residential,6.5,9.3,NA,488
58,9/3/1987,Delhi,Delhi,Central Pollution Control Board,Industrial,25.8,10.4,NA,487
57,9/3/1987,Delhi,Delhi,Central Pollution Control Board,Industrial,0.5,2.8,NA,528
56,9/2/1987,Delhi,Delhi,Central Pollution Control Board,Industrial,2.5,12.8,NA,506
55,9/2/1987,Delhi,Delhi,Central Pollution Control Board,Industrial,16.4,17.2,NA,371
60,10/3/1987,Delhi,Delhi,Central Pollution Control Board,Residential,3.1,14.9,NA,414
59,10/4/1987,Delhi,Delhi,Central Pollution Control Board,Residential,14.2,14.6,NA,337
58,10/1/1987,Delhi,Delhi,Central Pollution Control Board,Industrial,27.3,13.2,NA,372
57,10/1/1987,Delhi,Delhi,Central Pollution Control Board,Industrial,40.5,22.5,NA,638
56,10/3/1987,Delhi,Delhi,Central Pollution Control Board,Industrial,NA,12.9,NA,505
55,10/3/1987,Delhi,Delhi,Central Pollution Control Board,Industrial,27,20.6,NA,396
60,11/2/1987,Delhi,Delhi,Central Pollution Control Board,Residential,10.5,14.2,NA,435
59,11/3/1987,Delhi,Delhi,Central Pollution Control Board,Residential,3.9,14.3,NA,571
58,11/1/1987,Delhi,Delhi,Central Pollution Control Board,Industrial,7.5,8.2,NA,601
57,11/2/1987,Delhi,Delhi,Central Pollution Control Board,Industrial,46.2,33.4,NA,777
56,11/3/1987,Delhi,Delhi,Central Pollution Control Board,Industrial,2.5,20.5,NA,894
55,11/2/1987,Delhi,Delhi,Central Pollution Control Board,Industrial,9.4,24.5,NA,522
60,12/1/1987,Delhi,Delhi,Central Pollution Control Board,Residential,3.5,30.8,NA,714
59,12/1/1987,Delhi,Delhi,Central Pollution Control Board,Residential,20.7,26.7,NA,440
58,12/1/1987,Delhi,Delhi,Central Pollution Control Board,Industrial,12.9,22.1,NA,566
57,12/3/1987,Delhi,Delhi,Central Pollution Control Board,Industrial,60.4,35.4,NA,895
56,12/1/1987,Delhi,Delhi,Central Pollution Control Board,Industrial,3.7,20.7,NA,909
55,12/3/1987,Delhi,Delhi,Central Pollution Control Board,Industrial,14.2,30.6,NA,484
