Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
57,January - M011998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,22,42.1,NA,255
56,January - M011998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.7,23.6,NA,285
58,January - M011998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.8,38.5,NA,283
55,January - M011998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.7,36.4,NA,247
59,January - M011998,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",15.9,33.5,NA,275
60,January - M011998,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",11.2,27.3,NA,389
145,January - M011998,Delhi,Delhi,NA,Industrial Area,23.4,56,NA,502
146,January - M011998,Delhi,Delhi,NA,"Residential, Rural and other Areas",21.4,59.9,NA,535
144,January - M011998,Delhi,Delhi,NA,"Residential, Rural and other Areas",8.9,60.9,NA,470
56,February - M021998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14.6,22.7,NA,261
57,February - M021998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,30.3,52.3,NA,211
58,February - M021998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.7,36.6,NA,324
60,February - M021998,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",12.1,33,NA,356
55,February - M021998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.2,37,NA,287
59,February - M021998,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",12.9,30.2,NA,397
145,February - M021998,Delhi,Delhi,NA,Industrial Area,12.5,48.2,NA,435
146,February - M021998,Delhi,Delhi,NA,"Residential, Rural and other Areas",10.7,46.4,NA,479
144,February - M021998,Delhi,Delhi,NA,"Residential, Rural and other Areas",7.9,42.5,NA,342
56,March - M031998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12.8,21.4,NA,299
60,March - M031998,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",14.6,29.1,NA,291
59,March - M031998,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",15.4,35.3,NA,366
55,March - M031998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.3,38.7,NA,283
57,March - M031998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,30.1,49.8,NA,318
58,March - M031998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.5,37.4,NA,310
145,March - M031998,Delhi,Delhi,NA,Industrial Area,14.5,32.5,NA,357
146,March - M031998,Delhi,Delhi,NA,"Residential, Rural and other Areas",12.1,41.7,NA,381
144,March - M031998,Delhi,Delhi,NA,"Residential, Rural and other Areas",8.4,36.9,NA,196
56,April - M041998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13.5,18.8,NA,311
60,April - M041998,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",14.8,30.6,NA,380
59,April - M041998,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",15.6,34.1,NA,337
55,April - M041998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13.8,33.7,NA,285
57,April - M041998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,26.8,48,NA,362
58,April - M041998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,22,41.8,NA,384
145,April - M041998,Delhi,Delhi,NA,Industrial Area,20.1,37.2,NA,692
146,April - M041998,Delhi,Delhi,NA,"Residential, Rural and other Areas",15.9,37.1,NA,693
144,April - M041998,Delhi,Delhi,NA,"Residential, Rural and other Areas",10,35.7,NA,404
58,May - M051998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,21.1,40.4,NA,381
56,May - M051998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17,20.9,NA,337
60,May - M051998,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",21.4,34.8,NA,668
59,May - M051998,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",16.5,32.5,NA,358
55,May - M051998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14.8,36,NA,478
57,May - M051998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.9,22.1,NA,332
145,May - M051998,Delhi,Delhi,NA,Industrial Area,20.4,40,NA,618
146,May - M051998,Delhi,Delhi,NA,"Residential, Rural and other Areas",14.3,47.8,NA,773
144,May - M051998,Delhi,Delhi,NA,"Residential, Rural and other Areas",8,30.3,NA,613
58,June - M061998,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13.9,20.7,NA,398
