Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
1/4/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,10.9,62.9,203,384
1/5/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,25.1,64.1,381,601
14-01-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,15.9,58.1,217,479
15-01-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,17.5,77.8,246,558
18-01-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,8.5,70,306,574
19-01-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,17.7,68.6,285,543
21-01-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,19.7,36.8,259,463
22-01-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.1,18.6,150,236
2/4/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.4,78.8,203,378
2/5/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.8,62.9,175,349
2/8/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,13.5,51.7,120,196
2/9/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.1,61.6,220,410
18-02-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,18.7,42.6,144,438
19-02-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,10.4,26.9,98,310
25-02-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,15.1,23.1,142,381
26-02-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,13.1,23.3,179,371
3/1/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,18.7,40.5,166,387
3/2/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,13,28.2,120,355
15-03-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,14.8,25.3,223,451
16-03-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.7,28.6,194,399
21-03-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.8,51.1,130,259
22-03-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,15.3,64.3,139,360
29-03-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16,45.9,169,549
30-03-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,18.3,20,150,387
4/8/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,24.7,37.7,395,NA
4/9/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,20.2,42.2,338,903
15-04-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,21.8,58.3,220,592
16-04-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,19,41.5,218,600
22-04-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,23.8,77.3,210,732
23-04-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,18.3,37,194,686
28-04-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,2.5,56.5,177,473
29-04-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,4.3,45.2,124,460
5/11/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,9.4,20.7,201,501
5/12/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,14,38,215,578
13-05-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,15,17.4,377,549
14-05-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,12,55.8,242,518
20-05-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,12.1,94.5,268,606
21-05-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,13.5,57.1,339,691
27-05-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,2.5,56.6,238,512
28-05-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,2.4,62.6,231,616
6/1/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,17.2,33.5,244,621
6/2/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,15.2,36.5,331,811
6/10/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.5,49.8,374,952
6/11/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,11.8,36.8,466,NA
21-06-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,6.2,37.7,196,601
22-06-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,4.7,23.5,169,603
24-06-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,7,35.8,113,274
25-06-05,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,5.3,43,NA,258
7/8/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,10.1,40.9,164,368
7/9/2005,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,10.7,37.6,138,361
