Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
59,7/1/1988,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",NA,NA,NA,114
57,8/2/1988,Delhi,Delhi,Central Pollution Control Board,Industrial Area,NA,NA,NA,169
60,8/2/1988,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",NA,NA,NA,130
55,8/3/1988,Delhi,Delhi,Central Pollution Control Board,Industrial Area,NA,NA,NA,133
56,8/1/1988,Delhi,Delhi,Central Pollution Control Board,Industrial Area,NA,NA,NA,160
59,8/1/1988,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",NA,NA,NA,126
57,9/3/1988,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13.8,29.9,NA,NA
60,9/2/1988,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",3.1,18.5,NA,NA
58,9/1/1988,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.2,16,NA,NA
55,9/1/1988,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10.4,11.6,NA,NA
56,9/3/1988,Delhi,Delhi,Central Pollution Control Board,Industrial Area,3.2,28.2,NA,NA
59,9/3/1988,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",22.8,30.8,NA,NA
57,10/1/1988,Delhi,Delhi,Central Pollution Control Board,Industrial Area,23.8,27.1,NA,NA
60,10/3/1988,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",1.4,13.4,NA,NA
58,10/3/1988,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.8,17.5,NA,NA
56,10/1/1988,Delhi,Delhi,Central Pollution Control Board,Industrial Area,5.9,24.4,NA,NA
59,10/1/1988,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",12.5,20.2,NA,NA
57,12/1/1988,Delhi,Delhi,Central Pollution Control Board,Industrial Area,NA,NA,NA,569
60,12/3/1988,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",NA,NA,NA,309
58,12/3/1988,Delhi,Delhi,Central Pollution Control Board,Industrial Area,NA,NA,NA,354
55,12/2/1988,Delhi,Delhi,Central Pollution Control Board,Industrial Area,NA,NA,NA,459
56,12/2/1988,Delhi,Delhi,Central Pollution Control Board,Industrial Area,NA,NA,NA,443
59,12/3/1988,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",NA,NA,NA,366
