Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
55,January - M012002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,19.2,35.8,NA,239
55,February - M022002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.9,42.2,NA,192
55,March - M032002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.1,37.8,NA,167
55,April - M042002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13.4,39.4,NA,322
55,May - M052002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.6,42.6,NA,267
55,June - M062002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10.9,36.3,NA,222
55,July - M072002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11.3,36.4,NA,300
55,August - M082002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,9.1,38.6,NA,111
55,September - M092002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,6.8,38.2,NA,138
55,October - M102002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11.9,37,NA,251
55,November - M112002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11.6,42.6,NA,253
55,December - M122002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11.9,45.1,NA,370
55,Annual - M132002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13.1,39.3,NA,242
56,January - M012002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,5.5,18.2,NA,253
56,February - M022002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,6.3,19.7,NA,266
56,March - M032002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,5.5,20.5,NA,227
56,April - M042002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,4.8,19.7,NA,292
56,May - M052002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,7.3,27.8,NA,501
56,June - M062002,Delhi,Delhi,Central Pollution Control Board,Industrial Area,5.7,22,NA,272
