Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
56,July - M071997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11.5,20.7,NA,385
57,July - M071997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,21.6,37.1,NA,241
59,July - M071997,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",17.2,38.3,NA,285
55,July - M071997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,19.3,40.1,NA,293
58,July - M071997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11.7,28.7,NA,415
145,July - M071997,Delhi,Delhi,NA,Industrial Area,13.3,32.3,NA,173
146,July - M071997,Delhi,Delhi,NA,"Residential, Rural and other Areas",8.4,28.5,NA,272
144,July - M071997,Delhi,Delhi,NA,"Residential, Rural and other Areas",6.9,23,NA,168
59,August - M081997,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",15.5,25.8,NA,210
55,August - M081997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.8,35.7,NA,327
60,August - M081997,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",9.6,26.7,NA,337
58,August - M081997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17,24.5,NA,234
56,August - M081997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12.1,19.6,NA,277
57,August - M081997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,20.9,40.6,NA,252
145,August - M081997,Delhi,Delhi,NA,Industrial Area,14.5,23.6,NA,185
146,August - M081997,Delhi,Delhi,NA,"Residential, Rural and other Areas",10.3,20.2,NA,160
144,August - M081997,Delhi,Delhi,NA,"Residential, Rural and other Areas",7,16.1,NA,133
56,September - M091997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13.3,22.5,NA,309
57,September - M091997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,23.5,44.1,NA,305
60,September - M091997,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",11.1,27.2,NA,389
59,September - M091997,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",12.8,35.1,NA,306
55,September - M091997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.7,38.3,NA,360
58,September - M091997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,19.3,26.2,NA,235
145,September - M091997,Delhi,Delhi,NA,Industrial Area,15.1,30.6,NA,342
146,September - M091997,Delhi,Delhi,NA,"Residential, Rural and other Areas",7.1,22.4,NA,215
144,September - M091997,Delhi,Delhi,NA,"Residential, Rural and other Areas",6.1,16.2,NA,245
56,October - M101997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18,26.6,NA,307
57,October - M101997,Delhi,Delhi,Central Pollution Control Board,Industrial Area,25.8,47.6,NA,288
60,October - M101997,Delhi,Delhi,Central Pollution Control Board,"Residential, Rural and other Areas",10.9,27.1,NA,272
