Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
55,January_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.5,38,NA,444
55,February_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15,37.2,NA,341
55,March_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.1,36.8,NA,364
55,April_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.1,37.4,NA,387
55,May_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14.9,36.5,NA,320
55,June_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.6,37.3,NA,289
55,July_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.6,35.6,NA,315
55,August_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.8,35.4,NA,284
55,September_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.2,30.4,NA,367
55,October_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,19.6,41.3,NA,425
55,November_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14.3,38.2,NA,577
55,December_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.3,38.5,NA,600
55,Annual_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.9,37,NA,398
56,January_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.6,28.4,NA,327
56,February_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,27.6,36.8,NA,411
56,March_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.7,27.1,NA,320
56,April_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15.6,28.8,NA,384
56,May_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.6,25.6,NA,449
56,June_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.6,24.8,NA,457
56,July_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.6,28.7,NA,363
56,August_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,18.7,26.9,NA,426
56,September_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.3,39,NA,328
56,October_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.1,26.3,NA,407
56,November_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.8,25.2,NA,562
56,December_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16.1,24.8,NA,427
56,Annual_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,17.7,28.5,NA,406
57,January_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,25.2,43.2,NA,342
57,February_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,30.6,37.6,NA,402
57,March_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,28.1,47.9,NA,330
57,April_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,25.4,46.6,NA,326
57,May_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,26.2,47.2,NA,356
57,June_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,25.4,46.2,NA,344
57,July_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,26.1,47.4,NA,363
57,August_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,27.7,54,NA,328
57,September_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,23,44,NA,359
57,October_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,25,44,NA,443
57,November_1995,Delhi,Delhi,Central Pollution Control Board,Industrial Area,24.3,43.4,NA,431
