Sampling Date,State,City/Town/Village/Area,Location of Monitoring Station,Type of Location,SO2,NO2,RSPM/PM10,SPM
2/9/2007,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,6,64.9,136,206
2/10/2007,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,2.6,41.1,40,64
16-02-07,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,15.4,55.5,200,391
17-02-07,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.6,59,173,372
20-02-07,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,15.9,38.1,186,373
21-02-07,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,20.6,49.6,215,480
26-02-07,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.7,71.9,267,497
27-02-07,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,9.4,37,175,341
3/9/2007,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,13.2,54.7,118,333
3/10/2007,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,9.7,64.3,85,247
13-03-07,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,9.7,59.9,97,179
14-03-07,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,8.8,43.7,146,300
20-03-07,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,11.7,63.8,116,253
21-03-07,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,11.2,57.7,146,343
26-03-07,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,9,21.1,142,380
27-03-07,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,10.5,23,174,419
5/1/2007,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,7.3,59,114,418
5/2/2007,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,11.2,92.2,111,275
5/11/2007,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,14.5,60.5,94,280
5/12/2007,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,5.9,60.8,71,229
18-05-07,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,17.8,55.9,87,378
19-05-07,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,11.1,47,117,508
29-05-07,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,12.8,44.6,102,394
30-05-07,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,16.5,80.4,138,503
8/1/2007,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,NA,51.7,44,114
8/2/2007,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,3,60.4,57,129
8/7/2007,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,NA,48,97,184
8/8/2007,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,2.6,45.1,61,145
17-08-07,Delhi,Delhi,Mayapuri Indl. Area,Industrial Areas,NA,35,150,465
