Stn Code,Sampling Date,State,City/Town/Village/Area,Agency,Type of Location,SO2,NO2,RSPM/PM10,SPM
55,1/1/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,NA,34,149,205
55,1/6/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11,39,184,405
55,1/9/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12,42,190,429
55,14-01-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14,41,187,304
55,17-01-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13,39,192,323
55,22-01-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12,36,170,325
55,27-01-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12,43,112,262
55,30-01-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13,37,179,262
55,2/5/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11,42,155,192
55,2/10/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11,51,NA,245
55,14-02-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11,42,217,337
55,19-02-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,9,38,71,205
55,24-02-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13,43,201,275
55,27-02-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12,44,177,302
55,3/5/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11,47,91,173
55,3/10/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14,43,102,190
55,13-03-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11,38,170,264
55,20-03-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12,42,143,243
55,25-03-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15,43,115,282
55,28-03-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10,41,119,298
55,4/3/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14,46,132,276
55,4/8/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16,44,84,266
55,21-04-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11,39,97,301
55,24-04-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15,52,131,357
55,29-04-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16,51,133,315
55,5/5/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12,40,131,310
55,5/8/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13,49,156,352
55,13-05-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11,47,170,533
55,20-05-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12,42,186,489
55,23-05-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13,41,98,242
55,28-05-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,9,36,154,717
55,6/3/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15,43,130,271
55,6/6/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11,44,322,NA
55,6/11/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14,43,274,759
55,16-06-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12,39,150,607
55,19-06-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13,44,84,147
55,24-06-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10,35,193,435
55,27-06-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11,37,83,317
55,7/3/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10,48,68,190
55,16-07-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13,51,73,130
55,21-07-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,9,33,53,105
55,24-07-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13,38,61,139
55,29-07-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10,41,65,157
55,8/4/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10,49,31,128
55,8/7/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10,39,73,265
55,8/12/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10,42,59,199
55,18-08-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13,48,29,114
55,22-08-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10,39,66,186
55,27-08-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10,44,62,187
55,9/2/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10,43,93,129
55,9/5/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,7,27,105,354
55,9/10/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,11,40,56,205
55,15-09-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13,32,68,215
55,18-09-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14,45,83,148
55,23-09-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,10,46,47,183
55,26-09-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15,46,67,270
55,10/3/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12,44,74,413
55,10/8/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,16,47,88,274
55,13-10-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12,43,115,556
55,16-10-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,14,44,119,466
55,21-10-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,15,48,154,422
55,29-10-03,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12,46,144,546
55,11/4/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,13,51,163,438
55,11/7/2003,Delhi,Delhi,Central Pollution Control Board,Industrial Area,12,44,124,610
